alcance,set_features,sin_seleccion,n_features,detector,es_cascada,fpr_detector,tipo,n,detectados,recall,semilla,commit,fecha
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.083102,worm,2,0,0.0,1,df30cb2,2026-08-12T22:14:58
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.083102,xlock,9,0,0.0,1,df30cb2,2026-08-12T22:14:58
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.083102,xsnoop,4,2,0.5,1,df30cb2,2026-08-12T22:14:59
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.083102,xterm,13,8,0.615385,1,df30cb2,2026-08-12T22:14:59
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.083102,__global__,3750,2062,0.549867,1,df30cb2,2026-08-12T22:14:59
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,apache2,737,518,0.702849,1,df30cb2,2026-08-12T22:15:00
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,httptunnel,133,33,0.24812,1,df30cb2,2026-08-12T22:15:00
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,mailbomb,293,227,0.774744,1,df30cb2,2026-08-12T22:15:00
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,mscan,996,354,0.355422,1,df30cb2,2026-08-12T22:15:01
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,named,17,10,0.588235,1,df30cb2,2026-08-12T22:15:01
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,processtable,685,262,0.382482,1,df30cb2,2026-08-12T22:15:01
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,ps,15,11,0.733333,1,df30cb2,2026-08-12T22:15:01
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,saint,319,128,0.401254,1,df30cb2,2026-08-12T22:15:02
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,sendmail,14,10,0.714286,1,df30cb2,2026-08-12T22:15:02
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,snmpgetattack,178,12,0.067416,1,df30cb2,2026-08-12T22:15:02
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,snmpguess,331,9,0.02719,1,df30cb2,2026-08-12T22:15:03
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,sqlattack,2,2,1.0,1,df30cb2,2026-08-12T22:15:03
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,udpstorm,2,0,0.0,1,df30cb2,2026-08-12T22:15:03
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,worm,2,0,0.0,1,df30cb2,2026-08-12T22:15:04
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,xlock,9,4,0.444444,1,df30cb2,2026-08-12T22:15:04
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,xsnoop,4,3,0.75,1,df30cb2,2026-08-12T22:15:04
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,xterm,13,9,0.692308,1,df30cb2,2026-08-12T22:15:05
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.161672,__global__,3750,1592,0.424533,1,df30cb2,2026-08-12T22:15:05
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,apache2,737,617,0.837178,1,df30cb2,2026-08-12T22:15:05
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,httptunnel,133,119,0.894737,1,df30cb2,2026-08-12T22:15:05
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,mailbomb,293,0,0.0,1,df30cb2,2026-08-12T22:15:06
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,mscan,996,966,0.96988,1,df30cb2,2026-08-12T22:15:06
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,named,17,9,0.529412,1,df30cb2,2026-08-12T22:15:06
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,processtable,685,685,1.0,1,df30cb2,2026-08-12T22:15:07
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,ps,15,10,0.666667,1,df30cb2,2026-08-12T22:15:07
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,saint,319,306,0.959248,1,df30cb2,2026-08-12T22:15:07
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,sendmail,14,10,0.714286,1,df30cb2,2026-08-12T22:15:08
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.105447,snmpgetattack,178,0,0.0,1,df30cb2,2026-08-12T22:15:08
