alcance,set_features,sin_seleccion,n_features,detector,es_cascada,fpr_detector,tipo,n,detectados,recall,semilla,commit,fecha
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.084852,worm,2,0,0.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.084852,xlock,9,0,0.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.084852,xsnoop,4,2,0.5,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.084852,xterm,13,9,0.692308,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,OneClassSVM,False,0.084852,__global__,3750,2068,0.551467,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,apache2,737,528,0.716418,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,httptunnel,133,33,0.24812,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,mailbomb,293,241,0.822526,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,mscan,996,259,0.26004,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,named,17,7,0.411765,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,processtable,685,248,0.362044,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,ps,15,10,0.666667,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,saint,319,127,0.398119,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,sendmail,14,10,0.714286,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,snmpgetattack,178,15,0.08427,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,snmpguess,331,9,0.02719,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,sqlattack,2,2,1.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,udpstorm,2,0,0.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,worm,2,0,0.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,xlock,9,3,0.333333,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,xsnoop,4,2,0.5,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,xterm,13,9,0.692308,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,LocalOutlierFactor,False,0.160437,__global__,3750,1503,0.4008,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,apache2,737,735,0.997286,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,httptunnel,133,130,0.977444,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,mailbomb,293,0,0.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,mscan,996,976,0.97992,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,named,17,9,0.529412,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,processtable,685,685,1.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,ps,15,10,0.666667,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,saint,319,310,0.971787,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,sendmail,14,10,0.714286,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,snmpgetattack,178,0,0.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,snmpguess,331,6,0.018127,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,sqlattack,2,2,1.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,udpstorm,2,0,0.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,worm,2,0,0.0,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,xlock,9,3,0.333333,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,xsnoop,4,3,0.75,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,xterm,13,11,0.846154,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,Autoencoder,True,0.10174,__global__,3750,2890,0.770667,42,38fdd4b,2026-08-07T10:14:27
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,apache2,737,734,0.995929,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,httptunnel,133,115,0.864662,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,mailbomb,293,0,0.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,mscan,996,980,0.983936,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,named,17,6,0.352941,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,processtable,685,473,0.690511,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,ps,15,4,0.266667,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,saint,319,312,0.978056,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,sendmail,14,0,0.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,snmpgetattack,178,16,0.089888,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,snmpguess,331,153,0.462236,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,sqlattack,2,2,1.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,udpstorm,2,2,1.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,worm,2,0,0.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,xlock,9,3,0.333333,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,xsnoop,4,3,0.75,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,xterm,13,8,0.615385,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.092781,__global__,3750,2811,0.7496,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,apache2,737,723,0.981004,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,httptunnel,133,112,0.842105,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,mailbomb,293,0,0.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,mscan,996,893,0.896586,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,named,17,7,0.411765,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,processtable,685,247,0.360584,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,ps,15,3,0.2,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,saint,319,311,0.974922,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,sendmail,14,2,0.142857,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,snmpgetattack,178,11,0.061798,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,snmpguess,331,5,0.015106,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,sqlattack,2,2,1.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,udpstorm,2,1,0.5,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,worm,2,0,0.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,xlock,9,0,0.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,xsnoop,4,3,0.75,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,xterm,13,9,0.692308,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.083411,__global__,3750,2329,0.621067,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.165894,apache2,737,153,0.207598,42,38fdd4b,2026-08-07T10:31:11
