algoritmo,alcance,set_features,sin_seleccion,n_features,detector,firma,umbral_conf_elegido,tau,bin_recall,bin_precision,bin_f1,bin_fpr,bin_accuracy,bin_roc_auc,bin_pr_auc,bin_tn,bin_fp,bin_fn,bin_tp,conocida_precision_macro,conocida_recall_macro,conocida_f1_macro,n_conocida,f1_macro_5_conservador,accuracy_5,recall_0day_global,n_0day,fpr_cascada,tiempo_s,alcance_tiempo_s,tiempo_entrenamiento_s,tiempo_inferencia_s,n_inferencia,latencia_ms_por_flujo,flujos_por_segundo,semilla,commit,fecha
Autoencoder->RandomForest,cascada extremo a extremo (5 clases + unknown) sobre D2 completo; ojo: 'tiempo_entrenamiento_s' aquí es SOLO la calibración de UMBRAL_CONF por OOF sobre D3 — el híbrido no re-entrena las dos etapas. Y ojo también: 'fpr_cascada' y 'bin_fpr' son EL MISMO NÚMERO por construcción y no dos medidas — la etapa 2 solo reclasifica los flujos que la etapa 1 marcó como sospechosos y nunca devuelve uno a 'normal' así que el FPR de la cascada es por fuerza el de la etapa 1; se publican las dos porque P-2 pide el FPR junto al titular de 0-day y H-5 pide el bloque binario completo,54,False,54,Autoencoder,RandomForest,0.5,0.02,0.83184,0.915288,0.871571,0.10174,0.860451,0.928799,0.909239,8723,988,2158,10675,0.914528,0.670858,0.748051,9083,0.640607,0.794358,0.770667,3750,0.10174,25.4,'tiempo_s' = el tramo de la corrida que va desde la carga de los splits hasta el cierre de esta fila (carga de D1/D2/D3 + carga de los .joblib de las dos etapas + calibración OOF sobre D3 = 'tiempo_entrenamiento_s' + cascada sobre D2 = 'tiempo_inferencia_s' + tabla de sensibilidad de los 3 umbrales); lo que queda al restar esas dos columnas son la carga de los splits los dos .joblib y las pasadas de métricas de la tabla de sensibilidad — ninguna columna los mide por separado. NO incluye lo que se hace DESPUÉS de tomar la medida: la figura 5x6 · la tabla 0-day de los cuatro detectores · la escritura de los CSV — de ahí que el log del script imprima una cifra mayor que esta; no es tiempo de ajuste —el híbrido no re-entrena— ni comparable con el 'tiempo_s' de las otras tres tablas · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,23.414,0.188,22544,0.008353,119719.3,42,1163c90,2026-08-09T13:23:16
Autoencoder->RandomForest,cascada extremo a extremo (5 clases + unknown) sobre D2 completo; ojo: 'tiempo_entrenamiento_s' aquí es SOLO la calibración de UMBRAL_CONF por OOF sobre D3 — el híbrido no re-entrena las dos etapas. Y ojo también: 'fpr_cascada' y 'bin_fpr' son EL MISMO NÚMERO por construcción y no dos medidas — la etapa 2 solo reclasifica los flujos que la etapa 1 marcó como sospechosos y nunca devuelve uno a 'normal' así que el FPR de la cascada es por fuerza el de la etapa 1; se publican las dos porque P-2 pide el FPR junto al titular de 0-day y H-5 pide el bloque binario completo,122_sin_seleccion,True,122,Autoencoder,RandomForest,0.5,0.02,0.812515,0.926762,0.865886,0.084852,0.856725,0.9472,0.951941,8887,824,2406,10427,0.8599,0.598279,0.655441,9083,0.583421,0.777812,0.785333,3750,0.084852,15.83,'tiempo_s' = el tramo de la corrida que va desde la carga de los splits hasta el cierre de esta fila (carga de D1/D2/D3 + carga de los .joblib de las dos etapas + calibración OOF sobre D3 = 'tiempo_entrenamiento_s' + cascada sobre D2 = 'tiempo_inferencia_s' + tabla de sensibilidad de los 3 umbrales); lo que queda al restar esas dos columnas son la carga de los splits los dos .joblib y las pasadas de métricas de la tabla de sensibilidad — ninguna columna los mide por separado. NO incluye lo que se hace DESPUÉS de tomar la medida: la figura 5x6 · la tabla 0-day de los cuatro detectores · la escritura de los CSV — de ahí que el log del script imprima una cifra mayor que esta; no es tiempo de ajuste —el híbrido no re-entrena— ni comparable con el 'tiempo_s' de las otras tres tablas · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,13.646,0.1,22544,0.00443,225709.9,42,1163c90,2026-08-09T13:23:41
