tabla_origen,bloque,set_features,algoritmo,metrica,n,media,sd,min,max,valor_semilla_42,dentro_banda_42,distancia_fuera_banda_42,commit_semilla_42,semillas,alcance,nota_bloque,decisiones_no_constantes,commits_origen,commit_agregador,fecha
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,LocalOutlierFactor,f1,10,0.7148,0.0253,0.6511,0.7342,0.7272,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,config_ganadora: {'n_neighbors': 20} en 9 semilla(s) · {'n_neighbors': 35} en 1 semilla(s),df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,LocalOutlierFactor,fpr,10,0.1607,0.0021,0.1569,0.1635,0.1659,fuera,0.002368,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,config_ganadora: {'n_neighbors': 20} en 9 semilla(s) · {'n_neighbors': 35} en 1 semilla(s),df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,LocalOutlierFactor,pr_auc,10,0.7559,0.0036,0.7484,0.7599,0.7546,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,config_ganadora: {'n_neighbors': 20} en 9 semilla(s) · {'n_neighbors': 35} en 1 semilla(s),df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,LocalOutlierFactor,roc_auc,10,0.8315,0.0042,0.8218,0.8364,0.834,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,config_ganadora: {'n_neighbors': 20} en 9 semilla(s) · {'n_neighbors': 35} en 1 semilla(s),df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,LocalOutlierFactor,umbral,10,2.4144,0.0588,2.2966,2.5244,2.3155,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,config_ganadora: {'n_neighbors': 20} en 9 semilla(s) · {'n_neighbors': 35} en 1 semilla(s),df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,OneClassSVM,f1,10,0.8014,0.001,0.7997,0.8033,0.8017,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,OneClassSVM,fpr,10,0.0825,0.0004,0.0819,0.083,0.0834,fuera,0.000412,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,OneClassSVM,pr_auc,10,0.9254,0.0008,0.9238,0.927,0.9258,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,OneClassSVM,roc_auc,10,0.8883,0.0019,0.8855,0.8915,0.8898,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,122_sin_seleccion,OneClassSVM,umbral,10,0.0837,0.3817,-0.5839,0.5857,-0.5063,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,Autoencoder,f1,10,0.8721,0.0161,0.8492,0.8934,0.8716,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
