algoritmo,alcance,set_features,sin_seleccion,n_features,config_ganadora,f1_macro_cv,accuracy_D2,precision_macro,recall_macro,f1_macro,f1_weighted,bin_accuracy,bin_precision,bin_recall,bin_f1,bin_fpr,bin_roc_auc,bin_pr_auc,bin_tn,bin_fp,bin_fn,bin_tp,recall_0day_global,n_0day,n_test,tiempo_s,alcance_tiempo_s,tiempo_entrenamiento_s,tiempo_inferencia_s,n_inferencia,latencia_ms_por_flujo,flujos_por_segundo,precision_normal,recall_normal,f1_normal,soporte_normal,precision_dos,recall_dos,f1_dos,soporte_dos,precision_probe,recall_probe,f1_probe,soporte_probe,precision_r2l,recall_r2l,f1_r2l,soporte_r2l,precision_u2r,recall_u2r,f1_u2r,soporte_u2r,semilla,commit,fecha
RandomForest_monolitico,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,54,False,54,"{'max_depth': None, 'n_estimators': 300}",0.909368,0.739487,0.787631,0.470711,0.472131,0.692014,0.746584,0.965969,0.57508,0.72095,0.026774,0.957392,0.960655,9451,260,5453,7380,0.1496,3750,22544,24.48,'tiempo_s' = SOLO el entrenamiento (GridSearchCV + refit sobre D1+D3): coincide con 'tiempo_entrenamiento_s' de esta misma fila —el residual entre las dos columnas es cero salvo redondeo— y NO incluye inferencia ni figuras — no comparable con el 'tiempo_s' de metricas_anomalias.csv ni de metricas_firmas.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,24.476,0.095,22544,0.004211,237498.5,0.634125,0.973226,0.767906,9711,0.965708,0.774068,0.859333,7458,0.871655,0.591904,0.705043,2421,0.8,0.004357,0.008667,2754,0.666667,0.01,0.019704,200,42,1163c90,2026-08-09T13:21:59
RandomForest_monolitico,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,122_sin_seleccion,True,122,"{'max_depth': None, 'n_estimators': 300}",0.909418,0.737624,0.732986,0.469561,0.469815,0.689775,0.747738,0.966937,0.57656,0.722382,0.026053,0.959671,0.963109,9458,253,5434,7399,0.148,3750,22544,37.24,'tiempo_s' = SOLO el entrenamiento (GridSearchCV + refit sobre D1+D3): coincide con 'tiempo_entrenamiento_s' de esta misma fila —el residual entre las dos columnas es cero salvo redondeo— y NO incluye inferencia ni figuras — no comparable con el 'tiempo_s' de metricas_anomalias.csv ni de metricas_firmas.csv · wall-clock de un pase único en máquina no dedicada: NO es reproducible ni comparable entre corridas y NO es una propiedad del algoritmo — vale como orden de magnitud y como comparación relativa DENTRO de esta misma corrida. La dispersión medida entre corridas y el umbral por debajo del cual una diferencia entre dos filas no significa nada están tabulados en Implementacion/PIPELINE.md sección 'Las columnas de tiempo: qué miden y hasta dónde valen' — anclados al commit de cada corrida y NO aquí a propósito: una cifra dentro del dato no se puede corregir sin re-correr · 'latencia_ms_por_flujo' y 'flujos_por_segundo' miden SOLO el predict/score sobre características ya calculadas y ya en memoria: NO incluyen captura de tráfico · ensamblado del flujo · extracción de las 41 características —donde vive el coste real de un despliegue— así que no son capacidad operativa del sistema,37.24,0.188,22544,0.008352,119729.8,0.635106,0.973947,0.768849,9711,0.961371,0.767498,0.853564,7458,0.854167,0.59273,0.699829,2421,0.714286,0.003631,0.007225,2754,0.5,0.01,0.019608,200,42,1163c90,2026-08-09T13:22:40
